experiment,Enclosure,bee,Bee_ID,Date_delivered,Date_tagged,Days_Subcolony,Colony,Neonic,Treatment_Type,Flower_Type,Test_Type,Treatment_date,Test_date,,
t4rep2,3,D7-2C-66-01-0B-00-12-E0,D7 2C 66 01 0B 00 00 00,3/26/19,4/10/19,3,2,n,h,6alt,SI.NN,4/11/19,4/12/19,,
t4rep2,5,DC-2C-66-01-0B-00-12-E0,DC 2C 66 01 0B 00 00 00,3/26/19,4/10/19,3,2,n,c,6alt,SI.NN,4/11/19,4/12/19,,
t4rep2,8,0A-28-66-01-0B-00-12-E0,0A 28 66 01 0B 00 00 00,3/26/19,4/10/19,3,2,n,m,6alt,SI.NN,4/11/19,4/12/19,,
t4rep3,1,70-29-66-01-0B-00-12-E0,70 29 66 01 0B 00 00 00,3/26/19,4/10/19,3,1,n,c,6alt,SI.NN,4/11/19,4/12/19,,
t4rep3,2,79-29-66-01-0B-00-12-E0,79 29 66 01 0B 00 00 00,3/26/19,4/10/19,3,2,n,m,6alt,SI.NN,4/11/19,4/12/19,,
t4rep3,3,EF-27-66-01-0B-00-12-E0,EF 27 66 01 0B 00 00 00,3/26/19,4/10/19,3,2,n,h,6alt,SI.NN,4/11/19,4/12/19,,
t4rep3,8,D3-27-66-01-0B-00-12-E0,D3 27 66 01 0B 00 00 00,3/26/19,4/10/19,3,1,n,c,6alt,SI.NN,4/11/19,4/12/19,,
t5rep1,1,54-29-66-01-0B-00-12-E0,54 29 66 01 0B 00 00 00,3/26/19,4/12/19,3,1,n,h,6alt,SI.NN,4/15/19,4/16/19,,
t5rep1,2,6D-97-FA-04-08-00-12-E0,6D 97 FA 04 08 00 00 00,3/26/19,4/12/19,3,2,n,m,6alt,SI.NN,4/15/19,4/16/19,,
t5rep1,3,EC-27-66-01-0B-00-12-E0,EC 27 66 01 0B 00 00 00,3/26/19,4/12/19,3,1,n,c,6alt,SI.NN,4/15/19,4/16/19,,
t5rep1,4,0E-28-66-01-0B-00-12-E0,0E 28 66 01 0B 00 00 00,3/26/19,4/12/19,3,1,n,h,6alt,SI.NN,4/15/19,4/16/19,,
t5rep1,5,34-28-66-01-0B-00-12-E0,34 28 66 01 0B 00 00 00,3/26/19,4/12/19,3,1,y,m,6alt,SI.NN,4/15/19,4/16/19,,
t5rep1,6,63-97-FA-04-08-00-12-E0,63 97 FA 04 08 00 00 00,3/26/19,4/12/19,3,2,y,c,6alt,SI.NN,4/15/19,4/16/19,,
t5rep1,8,CC-94-FA-04-08-00-12-E0,CC 94 FA 04 08 00 00 00,3/26/19,4/12/19,3,2,n,h,6alt,SI.NN,4/15/19,4/16/19,,
t5rep2,1,4F-29-66-01-0B-00-12-E0,4F 29 66 01 0B 00 00 00,3/26/19,4/12/19,3,1,n,m,6alt,SI.NN,4/15/19,4/16/19,,
t5rep2,2,93-22-30-01-0B-00-12-E0,93 22 30 01 0B 00 00 00,3/26/19,4/12/19,3,1,y,c,6alt,SI.NN,4/15/19,4/16/19,,
t5rep2,4,E1-97-FA-04-08-00-12-E0,E1 97 FA 04 08 00 00 00,3/26/19,4/12/19,3,2,y,m,6alt,SI.NN,4/15/19,4/16/19,,
t5rep2,5,06-96-FA-04-08-00-12-E0,06 96 FA 04 08 00 00 00,3/26/19,4/12/19,3,2,y,c,6alt,SI.NN,4/15/19,4/16/19,,
t5rep2,6,F0-28-66-01-0B-00-12-E0,F0 28 66 01 0B 00 00 00,3/26/19,4/12/19,3,1,y,h,6alt,SI.NN,4/15/19,4/16/19,,
t5rep2,8,96-28-66-01-0B-00-12-E0,96 28 66 01 0B 00 00 00,3/26/19,4/12/19,3,2,y,m,6alt,SI.NN,4/15/19,4/16/19,,
t5rep3,1,99-95-FA-04-08-00-12-E0,99 95 FA 04 08 00 00 00,3/26/19,4/12/19,3,2,n,c,6alt,SI.NN,4/15/19,4/16/19,,
t5rep3,2,0D-2B-66-01-0B-00-12-E0,0D 2B 66 01 0B 00 00 00,3/26/19,4/12/19,3,1,n,m,6alt,SI.NN,4/15/19,4/16/19,,
t5rep3,3,5E-26-66-01-0B-00-12-E0,5E 26 66 01 0B 00 00 00,3/26/19,4/12/19,3,2,n,h,6alt,SI.NN,4/15/19,4/16/19,,
t5rep3,4,18-2B-66-01-0B-00-12-E0,18 2B 66 01 0B 00 00 00,3/26/19,4/12/19,3,2,n,c,6alt,SI.NN,4/15/19,4/16/19,,
t5rep3,5,6C-1C-30-01-0B-00-12-E0,6C 1C 30 01 0B 00 00 00,3/26/19,4/12/19,3,1,y,m,6alt,SI.NN,4/15/19,4/16/19,,
t5rep3,6,AA-95-FA-04-08-00-12-E0,AA 95 FA 04 08 00 00 00,3/26/19,4/12/19,3,2,y,h,6alt,SI.NN,4/15/19,4/16/19,,
t5rep3,8,15-2A-66-01-0B-00-12-E0,15 2A 66 01 0B 00 00 00,3/26/19,4/12/19,3,2,n,c,6alt,SI.NN,4/15/19,4/16/19,,
t5rep4,1,A7-26-66-01-0B-00-12-E0,A7 26 66 01 0B 00 00 00,3/26/19,4/12/19,3,1,n,h,6alt,SI.NN,4/15/19,4/16/19,,
t5rep4,2,93-26-66-01-0B-00-12-E0,93 26 66 01 0B 00 00 00,3/26/19,4/12/19,3,2,n,m,6alt,SI.NN,4/15/19,4/16/19,,
t5rep4,3,AF-95-FA-04-08-00-12-E0,AF 95 FA 04 08 00 00 00,3/26/19,4/12/19,3,2,y,c,6alt,SI.NN,4/15/19,4/16/19,,
t5rep4,5,08-9B-FA-04-08-00-12-E0,08 9B FA 04 08 00 00 00,3/26/19,4/12/19,3,2,n,m,6alt,SI.NN,4/15/19,4/16/19,,
t5rep4,6,ED-27-66-01-0B-00-12-E0,ED 27 66 01 0B 00 00 00,3/26/19,4/12/19,3,1,n,c,6alt,SI.NN,4/15/19,4/16/19,,
t5rep4,8,6B-95-FA-04-08-00-12-E0,6B 95 FA 04 08 00 00 00,3/26/19,4/12/19,3,2,y,h,6alt,SI.NN,4/15/19,4/16/19,,
t5rep5,1,D5-20-30-01-0B-00-12-E0,D5 20 30 01 0B 00 00 00,3/26/19,4/12/19,3,2,n,m,6alt,SI.NN,4/15/19,4/16/19,,
t5rep5,2,FA-1E-30-01-0B-00-12-E0,FA 1E 30 01 0B 00 00 00,3/26/19,4/12/19,3,1,y,c,6alt,SI.NN,4/15/19,4/16/19,,
t5rep5,3,5D-1C-30-01-0B-00-12-E0,5D 1C 30 01 0B 00 00 00,3/26/19,4/12/19,3,1,y,h,6alt,SI.NN,4/15/19,4/16/19,,
t5rep5,4,AD-97-FA-04-08-00-12-E0,AD 97 FA 04 08 00 00 00,3/26/19,4/12/19,3,2,y,m,6alt,SI.NN,4/15/19,4/16/19,,
t5rep5,5,06-2A-66-01-0B-00-12-E0,06 2A 66 01 0B 00 00 00,3/26/19,4/12/19,3,2,y,c,6alt,SI.NN,4/15/19,4/16/19,,
t5rep5,8,21-2B-66-01-0B-00-12-E0,21 2B 66 01 0B 00 00 00,3/26/19,4/12/19,3,1,n,m,6alt,SI.NN,4/15/19,4/16/19,,
t6rep2,1,99-29-66-01-0B-00-12-E0,99 29 66 01 0B 00 00 00,3/26/19,4/17/19,3,2,y,m,6alt,SI.NN,4/18/19,4/19/19,,
t6rep2,2,96-29-66-01-0B-00-12-E0,96 29 66 01 0B 00 00 00,3/26/19,4/17/19,3,2,y,c,6alt,SI.NN,4/18/19,4/19/19,,
t6rep2,3,9D-29-66-01-0B-00-12-E0,9D 29 66 01 0B 00 00 00,3/26/19,4/17/19,3,1,y,h,6alt,SI.NN,4/18/19,4/19/19,,
t6rep2,6,AE-25-66-01-0B-00-12-E0,AE 25 66 01 0B 00 00 00,3/26/19,4/17/19,3,1,y,h,6alt,SI.NN,4/18/19,4/19/19,,
t6rep2,8,9B-26-66-01-0B-00-12-E0,9B 26 66 01 0B 00 00 00,3/26/19,4/17/19,3,2,n,m,6alt,SI.NN,4/18/19,4/19/19,,
t6rep3,1,0B-26-66-01-0B-00-12-E0,0B 26 66 01 0B 00 00 00,3/26/19,4/17/19,3,1,n,c,6alt,SI.NN,4/18/19,4/19/19,,
