experiment,Bee_ID,bee,Date_delivered,Date_tagged,Enclosure,Treatment_Type,Flower_Type,Test_Type,Treatment_date,Test_date
t2rep2,17 2B 66 01 0B 00 00 00,17-2B-66-01-0B-00-12-E0,6/12/18,6/26/18,1,easy,6round,SI,6/26/18,6/27/18
t2rep2,E9 28 66 01 0B 00 00 00,E9-28-66-01-0B-00-12-E0,6/12/18,6/26/18,2,hard,6round,SI,6/26/18,6/27/18
t2rep2,DA 28 66 01 0B 00 00 00,DA-28-66-01-0B-00-12-E0,6/12/18,6/26/18,3,control,8pointy,SI,6/26/18,6/27/18
t2rep2,0E 2B 66 01 0B 00 00 00,0E-2B-66-01-0B-00-12-E0,6/12/18,6/26/18,4,easy,4round,SI,6/26/18,6/27/18
t2rep2,E8 28 66 01 0B 00 00 00,E8-28-66-01-0B-00-12-E0,6/12/18,6/26/18,5,hard,6alternating,SI,6/26/18,6/27/18
t2rep2,DB 28 66 01 0B 00 00 00,DB-28-66-01-0B-00-12-E0,6/12/18,6/26/18,6,control,6alternating,SI,6/26/18,6/27/18
t2rep2,41 2C 66 01 0B 00 00 00,41-2C-66-01-0B-00-12-E0,6/12/18,6/26/18,7,easy,8pointy,SI,6/26/18,6/27/18
t2rep3,D2 2B 66 01 0B 00 00 00,D2-2B-66-01-0B-00-12-E0,6/12/18,6/26/18,1,easy,6round,SI,6/26/18,6/27/18
t2rep3,42 2C 66 01 0B 00 00 00,42-2C-66-01-0B-00-12-E0,6/12/18,6/26/18,2,hard,6round,SI,6/26/18,6/27/18
t2rep3,C5 2B 66 01 0B 00 00 00,C5-2B-66-01-0B-00-12-E0,6/12/18,6/26/18,3,control,8pointy,SI,6/26/18,6/27/18
t2rep3,C6 2B 66 01 0B 00 00 00,C6-2B-66-01-0B-00-12-E0,6/12/18,6/26/18,4,easy,4round,SI,6/26/18,6/27/18
t2rep3,D8 28 66 01 0B 00 00 00,D8-28-66-01-0B-00-12-E0,6/12/18,6/26/18,5,hard,6alternating,SI,6/26/18,6/27/18
t2rep3,16 2B 66 01 0B 00 00 00,16-2B-66-01-0B-00-12-E0,6/12/18,6/26/18,6,control,6alternating,SI,6/26/18,6/27/18
